stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BLAES_01,55A,48.5660699686,7.7033351361,Blaesheim,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BLAES_02,55B,48.566079836,7.7035308181,Blaesheim,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BLOUE_02,737A,48.5043117946,7.6002542917,Blaesheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOECK_01,57A,48.5980307877,7.7778743259,Boecklin,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOECK_02,57B,48.5979657756,7.7782969241,Boecklin,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOENS_01,808A,48.6509003382,7.7239501946,Boulevard des Enseignes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOENS_02,808B,48.6507122499,7.7236320823,Boulevard des Enseignes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOHRI_03,58C,48.549394,7.701817,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOHRI_04,58D,48.549504,7.701742,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOISF_01,59A,48.6032849405,7.7908827736,Bois Fleuri,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOISF_02,59B,48.6034002284,7.7907318994,Bois Fleuri,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BORIE_01,58A,48.5499224652,7.7029905667,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BORIE_02,58B,48.5497361304,7.702574997,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
